Ranking,University Name,National/Regional Rank,Total Score,LOGO,University Detail 
151-200,Michigan State University,55-62,7.5,http://www.shanghairanking.com/_uni/logo/3be5907be.png,http://www.shanghairanking.com/institution/michigan-state-university
151-200,Northwestern Polytechnical University,14-26,0.0,http://www.shanghairanking.com/_uni/logo/20384817.png,http://www.shanghairanking.com/institution/northwestern-polytechnical-university
151-200,Osaka University,4-6,17.7,http://www.shanghairanking.com/_uni/logo/433a187e9.png,http://www.shanghairanking.com/institution/osaka-university
151-200,Shandong University,14-26,0.0,http://www.shanghairanking.com/_uni/logo/97189370.png,http://www.shanghairanking.com/institution/shandong-university
151-200,Soochow University (China),14-26,0.0,http://www.shanghairanking.com/_uni/logo/44374737.png,http://www.shanghairanking.com/institution/soochow-university-china
151-200,South China University of Technology,14-26,0.0,http://www.shanghairanking.com/_uni/logo/69348939.png,http://www.shanghairanking.com/institution/south-china-university-of-technology
151-200,Southeast University,14-26,0.0,http://www.shanghairanking.com/_uni/logo/82819451.png,http://www.shanghairanking.com/institution/southeast-university
151-200,Southern University of Science and Technology,14-26,0.0,http://www.shanghairanking.com/_uni/logo/22950445.png,http://www.shanghairanking.com/institution/southern-university-of-science-and-technology
151-200,Technical University of Denmark,3,0.0,http://www.shanghairanking.com/_uni/logo/2a23ba513.png,http://www.shanghairanking.com/institution/technical-university-of-denmark
151-200,Tel Aviv University,4,0.0,http://www.shanghairanking.com/_uni/logo/3384913de.png,http://www.shanghairanking.com/institution/tel-aviv-university
151-200,Texas A&M University,55-62,0.0,http://www.shanghairanking.com/_uni/logo/df03442c2.png,http://www.shanghairanking.com/institution/texas-a-m-university
151-200,The Hong Kong Polytechnic University,3-4,0.0,http://www.shanghairanking.com/_uni/logo/bb2e43056.png,http://www.shanghairanking.com/institution/the-hong-kong-polytechnic-university
151-200,The University of Calgary,7-8,0.0,http://www.shanghairanking.com/_uni/logo/2728e064d.png,http://www.shanghairanking.com/institution/the-university-of-calgary
151-200,Tianjin University,14-26,0.0,http://www.shanghairanking.com/_uni/logo/74813674.png,http://www.shanghairanking.com/institution/tianjin-university
151-200,Tohoku University,4-6,14.1,http://www.shanghairanking.com/_uni/logo/cd197349d.png,http://www.shanghairanking.com/institution/tohoku-university
151-200,Tokyo Institute of Technology,4-6,11.9,http://www.shanghairanking.com/_uni/logo/b7135745d.png,http://www.shanghairanking.com/institution/tokyo-institute-of-technology
151-200,Tongji University,14-26,0.0,http://www.shanghairanking.com/_uni/logo/39174907.png,http://www.shanghairanking.com/institution/tongji-university
151-200,Trinity College Dublin,1,13.1,http://www.shanghairanking.com/_uni/logo/a5359bee7.png,http://www.shanghairanking.com/institution/trinity-college-dublin
